,Name,Distance (mi),Moving Time (hr),Elevation Gain (ft),Average Heartrate (bpm),Average Power (w),Date,Day of the Week
137,Piuma -> Saddle Peak,9.73,3.43,2627.95,108.1,,2023-02-05,6
138,Morning Ride,68.96,3.64,4186.35,159.0,218.0,2023-02-04,5
139,Worth skipping class 😮‍💨🤌,23.19,1.93,2339.24,144.4,,2023-02-03,4
140,Morning Ride,20.17,1.5,1463.25,124.0,134.0,2023-02-02,3
141,Afternoon Ride,66.4,4.07,5203.41,156.6,184.0,2023-02-01,2
142,Morning Ride,51.68,2.76,2421.26,156.7,202.0,2023-01-31,1
143,Morning Ride,36.45,2.31,3277.56,151.4,181.0,2023-01-29,6
144,Morning Ride,67.51,4.15,6161.42,165.7,184.0,2023-01-28,5
145,Morning Ride,23.33,1.64,1532.15,,,2023-01-27,4
146,Sorfing,0.35,0.17,318.24,101.7,,2023-01-26,3
147,Afternoon Run,11.24,1.75,403.54,159.0,,2023-01-22,6
148,NOW-ish,16.65,0.86,219.82,149.7,196.0,2023-01-21,5
149,Coffee Run ,5.36,0.76,160.76,166.8,,2023-01-20,4
150,Afternoon Ride,25.33,1.62,2152.23,152.3,184.0,2023-01-19,3
151,Morning Run,5.2,0.74,173.88,171.1,,2023-01-18,2
152,Morning Run,3.41,0.5,229.66,112.1,,2023-01-17,1
153,Afternoon Ride,30.94,2.18,2500.0,137.1,157.0,2023-01-16,0
154,PNS Mt. Tamalopolis,61.22,4.19,5265.75,107.6,194.0,2023-01-15,6
155,Zwift - 60min Riders Choice on Volcano Circuit in France,11.92,1.01,505.25,,79.0,2023-01-12,3
156,Zwift - Netflix Pace  in Richmond,38.63,2.01,505.25,124.9,156.0,2023-01-11,2
157,Zwift - Endurance in Watopia,29.08,2.09,1473.1,136.8,163.0,2023-01-10,1
158,Zwift - Road to Sky in Watopia,11.09,1.02,583.99,110.9,122.0,2023-01-08,6
159,Zwift - Road to Sky in Watopia,12.84,1.93,3467.85,118.7,140.0,2023-01-07,5
160,Afternoon Walk,13.64,4.19,892.39,99.5,,2023-01-06,4
161,Afternoon Run,2.05,0.28,118.11,158.0,,2023-01-03,1
162,Lunch Ride,35.75,2.39,2673.88,108.6,186.0,2023-01-03,1
163,Afternoon Run,4.78,0.69,223.1,170.1,,2023-01-02,0
164,Afternoon Run,5.64,0.77,291.99,167.3,,2023-01-01,6
165,Afternoon Ride,22.16,1.46,997.38,121.1,170.0,2023-01-01,6
166,Afternoon Run,7.43,1.09,531.5,169.0,,2022-12-31,5
167,Afternoon Run,1.84,0.26,192.26,,,2022-12-29,3
168,Lunch Run,1.72,0.25,191.93,,,2022-12-26,0
169,Lunch Run,4.17,0.72,458.66,,,2022-12-24,5
170,Lunch Run,2.11,0.31,196.85,,,2022-12-23,4
171,Afternoon Ride,31.37,2.27,2634.51,,179.0,2022-12-21,2
172,Afternoon Walk,17.16,4.51,874.02,,,2022-12-19,0
173,Perhaps a MAAP small was overly ambitious 🫃,47.06,3.11,3809.06,,183.0,2022-11-29,1
174,"Peace out, girl scout ",29.18,2.28,2808.4,,174.0,2022-11-27,6
175,Social Friday,91.67,6.37,9022.31,,193.0,2022-11-25,4
176,Turkey,20.51,1.98,1761.81,,119.0,2022-11-24,3
177,Things and stuff and stuff and things ,27.76,1.79,1932.41,,191.0,2022-11-23,2
178,Impromptu boys trip to Ojai ,92.13,5.8,9343.83,,167.0,2022-11-20,6
179,Morning Ride,59.96,3.92,3717.19,,185.0,2022-11-19,5
180,Sub-threshold + vo2 ,30.8,1.83,2667.32,,215.0,2022-11-17,3
181,Afternoon Ride,20.61,1.78,2791.99,,,2022-11-16,2
182,Afternoon Ride,30.44,1.89,2401.57,,190.0,2022-11-15,1
183,Morning Ride,45.09,2.58,3438.32,,203.0,2022-11-13,6
184,Morning Ride,49.68,3.45,4169.95,,151.0,2022-11-12,5
185,Morning Walk,2.9,0.83,9.84,,,2022-11-11,4
186,47° never felt this good,25.74,1.95,2585.3,,175.0,2022-11-04,4
187,Afternoon Ride,20.53,1.44,1988.19,,182.0,2022-11-03,3
188,Afternoon Ride,45.69,2.69,3871.39,,200.0,2022-11-01,1
189,Morning Ride,68.1,4.32,5846.46,,,2022-10-30,6
190,Afternoon Ride,29.47,1.99,2398.29,,148.0,2022-10-28,4
191,Zwift - Pace Partner Ride: Three Little Sisters in Watopia with Maria,19.34,1.03,1328.74,,198.0,2022-10-28,4
192,Zwift - Endurance in Watopia,28.34,1.34,1167.98,,211.0,2022-10-27,3
193,Morning Ride,45.4,2.52,3300.53,,204.0,2022-10-23,6
194,Afternoon Ride,24.71,2.29,2591.86,,,2022-10-22,5
195,UCLA ☕️,11.46,0.75,374.02,,136.0,2022-10-21,4
196,Afternoon Ride,18.02,1.9,1971.78,,,2022-10-20,3
197,Morning Ride,27.27,1.6,2021.0,,196.0,2022-10-19,2
198,Post Midterm ,31.78,2.97,3763.12,,,2022-10-17,0
199,NOW & Latigo,79.63,4.5,5767.72,156.1,210.0,2022-10-15,5
200,Morning Ride,11.13,0.81,380.58,,,2022-10-14,4
201,Morning Ride,27.59,1.77,2021.0,138.4,186.0,2022-10-13,3
202,Vo2 ,29.26,1.8,2578.74,149.6,196.0,2022-10-12,2
203,Evening Ride,13.65,1.04,334.65,,,2022-10-11,1
204,Weekly Drop Sesh ,76.72,3.93,4599.74,162.3,216.0,2022-10-08,5
205,Morning Ride,25.52,1.69,2086.61,137.1,153.0,2022-10-06,3
206,Morning Ride,30.55,1.82,2296.59,136.7,200.0,2022-10-05,2
207,Morning Ride,37.89,1.85,429.79,140.7,181.0,2022-10-04,1
208,Afternoon Ride,24.49,2.41,2788.71,124.1,,2022-10-03,0
209,Morning Ride,120.7,7.77,5298.56,114.4,129.0,2022-10-02,6
210,Morning Ride,91.95,4.96,6804.46,154.3,206.0,2022-10-01,5
211,Afternoon Ride,26.36,2.35,2450.79,126.3,,2022-10-01,5
212,The Birthday Squad ,27.93,1.8,1738.85,,110.0,2022-09-30,4
213,Morning Ride,31.05,1.98,2227.69,133.8,252.0,2022-09-29,3
214,Afternoon Ride,25.12,1.42,2053.81,158.1,220.0,2022-09-28,2
215,UCLA dinner ride ,15.74,1.22,636.48,,,2022-09-27,1
216,Morning Ride,26.06,1.61,1522.31,139.1,160.0,2022-09-27,1
217,Afternoon Ride,32.32,2.05,2332.68,152.0,201.0,2022-09-27,1
218,Morning Ride,60.61,3.73,4790.03,155.6,210.0,2022-09-25,6
219,Z2,56.08,2.95,1738.85,158.3,173.0,2022-09-24,5
220,Morning Ride,25.89,1.75,1886.48,,168.0,2022-09-23,4
221,Lunch Ride,18.25,1.13,1328.74,,173.0,2022-09-22,3
222,JSV Birthday Edition ,32.77,2.2,2831.36,,184.0,2022-09-16,4
223,Another pair of glasses tragically lost to the helmet aesthetic ,54.79,3.52,5206.69,,230.0,2022-09-15,3
224,My redemption arc begins now ,29.13,1.77,2408.14,,224.0,2022-09-14,2
225,Evening Ride,18.29,1.5,1302.49,,147.0,2022-09-13,1
226,Morning Ride,47.75,2.66,3343.18,,225.0,2022-09-11,6
227,Morning Ride,64.33,4.33,5255.91,121.2,194.0,2022-09-10,5
228,Essentially a new bike day ,20.85,1.44,1578.08,,180.0,2022-09-09,4
229,Morning Ride,28.34,1.66,2073.49,142.9,171.0,2022-09-07,2
230,Morning Ride,14.71,2.06,2414.7,,,2022-09-04,6
231,I pay all these taxes and yet the roads are still unpaved smh ,31.21,2.97,3458.01,151.9,,2022-09-03,5
232,Evening Ride,19.56,1.48,1341.86,146.3,,2022-09-01,3
233,Cracked my bottom bracket ,72.36,5.2,8723.75,145.3,190.0,2022-08-27,5
234,God gives the wettest days to only his most incapable bike handlers ,31.45,2.04,2696.85,155.6,221.0,2022-08-26,4
235,Afternoon Ride,23.42,1.47,1190.94,144.4,238.0,2022-08-26,4
236,Mikes Bikes CdP,52.46,3.29,4849.08,159.3,219.0,2022-08-24,2
237,Sanpranpisco ,26.13,1.97,2339.24,132.5,180.0,2022-08-24,2
238,Contre la montre ,70.85,3.4,4005.91,169.7,211.0,2022-08-21,6
239,Openers ,17.79,0.89,403.54,156.4,185.0,2022-08-20,5
240,Should’ve worn the brown bibs ,21.24,2.01,2572.18,149.7,,2022-08-19,4
241,Sunrise 📸,21.0,1.46,459.32,118.3,128.0,2022-08-18,3
242,Specialized Bundy Loop,22.83,1.54,1223.75,131.1,179.0,2022-08-18,3
243,Mediocre 3x10min ,30.15,1.78,2454.07,149.4,223.0,2022-08-16,1
244,Morning Run,3.23,0.41,92.52,,,2022-08-15,0
245,Lunch Ride,22.63,1.39,1827.43,152.6,182.0,2022-08-13,5
246,$7 caprese sandwich ,26.54,1.56,554.46,,167.0,2022-08-12,4
247,What a mess ,23.73,1.47,1617.45,143.3,207.0,2022-08-12,4
248,Morning Run,2.21,0.43,16.08,,,2022-08-09,1
249,Waimoku Falls 🥾,5.22,2.15,841.86,,,2022-08-08,0
250,Haleakalā 🌋,35.52,4.02,10072.18,170.9,207.0,2022-08-07,6
251,Morning Run,2.11,0.46,12.8,,,2022-08-05,4
252,Morning Ride,21.02,1.04,423.23,157.0,198.0,2022-08-05,4
253,Specialized Shop Ride ,20.73,1.4,1164.7,127.8,170.0,2022-08-04,3
254,Mid-work company run ,3.82,0.49,207.35,174.3,,2022-08-02,1
